question,answer
What is loan against Mutual Funds?,"Loan against mutual funds (LAMF) allows you to borrow cash against your mutual fund investments as collateral. You can use Volt Money to lien mark your mutual funds digitally to avail an instant limit without losing the ownership of your mutual funds and all the associated benefits with it. Funds will be made available in the form of an overdraft facility. You can utilize the required amount and repay anytime without any prepayment charges. Interest is charged only on the utilized amount and for the duration the funds are utilized. You can select from a list of 4500+ approved mutual funds from different asset management companies (AMCs) in India. You can lien mark mutual funds registered with both CAMS & KFintech, Registrars & Transfer Agents (RTAs). We recommend digital loan against mutual funds to meet any of your financial requirements like travel, gadget purchase, balance transfer for your high interest loans, medical emergency."
Can I choose any date for my monthly loan repayment?,"Yes, you have the freedom to choose when you want to repay. The loan against mutual funds credit line facility provides 100% flexibility for principal repayment in. After the month ends, only the interest needs to be repaid."
What are the documents required?,"The entire process is 100% digital, so there is no requirement for any physical documents for loan against mutual funds. To ensure a smooth and quick processing, please have the following information handy:
PAN card number
Email ID associated with CAMS and KFintech (for mutual fund verification)
Bank account details for account verification and receiving the loan amount
Debit card or net banking details for setting up the mandate."
What is lien marking/pledging of Mutual Funds?,"When you opt for a loan against your mutual fund units, Volt Money digitally lien mark/pledge your mutual fund units in the favor of the lender. This ensures that the units cannot be redeemed or sold until the loan amount is repaid. The lien marking process is conducted entirely digitally and in real-time for loan against mutual funds."
Can I lien mark any mutual fund units of my choice?,Volt Money offers complete flexibility when it comes to choosing the mutual fund units you want to lien mark for setting up the loan limit. You have the freedom to change the schemes and units according to your preferences and create your own allocation for lien marking.
When will my funds be unlienmarked?,"You have the flexibility to request the removal of lien from your mutual fund units at any time, provided there is no pending loan amount against them. Depending on your current loan amount and utilization, you can choose to remove the lien from specific mutual fund units or from all the units you have pledged."
What is Hey Torus?,"Hey Torus is a Neo Wellness Platform that offers multiple products across Wealth, Health, Career and Lifestyle Wellness. The app opens up multiple product possibilities with one-time onboarding. 
It offers curated investment options to help achieve a state of financial well-being, varied health products with incomparable discounts, and in-demand upskilling options, along with an exclusive job portal."
What are the benefits of opening demat account with Hey Torus.,"The app offers various benefits such as zero brokerage, goal-based robo investment advisory, individual and stock-basket ideas, range of medicines, nutraceuticals, lab tests and specialised doctor consultations, and certified courses and job opportunities."
What is the time taken to open a hey Torus Demat Account?,You can complete the trading account opening process in less than 15 minutes. Account activation can take 1-3 days.
What are the documents needed to open a Demat Account?,"Documents required:
• Aadhar Card
• PAN card
• KYC details"
What are Smart Investment Boxes (SIBs),"Smart Investment Boxes (SIBs) are Fabits’ expert-curated investment portfolios with a diverse set of asset classes, that match your needs and financial goals. Coupled with our AIAS (Advanced Investor Assistance System), SIBs aim to make investments stress-free and intuitive."
Why should you invest in SIBs?,"Diversification
Each SIB consists of select mix of various asset classes - domestic equity, international markets, gold, and debt, in varying proportions based on your end-goals. Each basket is curated by financial experts using time-tested and proven investment strategies.
Better Risk- Adjusted Returns
SIBs are reviewed on a regular basis to keep track of ever-changing market conditions, and adjustments are made based on scientific research and data driven quantitative methodologies. The weightage of undervalued assets is increased while we bank gains from overvalued assets. This ensures a greater probability of riding the uptrend while cushioning against the dips.
Low Cost
Our SIBs comprise of low-cost instruments called Exchange Traded Funds. These are more effective investment vehicles than the more popular mutual funds. Learn more about ETFs."
Why should I invest in Digital Gold?,"1.It is easy to buy, sell, and manage Gold online
2. Investment in small amounts is possible. Physical gold typically involves purchasing whole units like coins or bars.
3. Provides high liquidity and can be easily converted in to cash"
Who can invest?,Any Indian above the the age group of 18 can invest in Digital Gold.
How is Appreciate different?,"1. Investing in Digital Gold Goal lets you own gold physically security in London's vaults.
2. User centric seamless UI/UX designed by India's top designers enabling deep personalization for customers.
3. Feature rich for all customers including global news and research, charts, analyst reports, etc.
4. Powered by AI/ML across the app for improved customer outcome and experience.
5. Built by a globally experienced founding team with the help of seasoned advisors and partners.
6. Driven by a societal mission to improve financial literacy of millions of Indians."
Are there any charges?,"Appreciate has Zero account opening and subscription fees. We offer simple, low, transparent fees by product between 0.25% - 0.75%"
What is the minimum investment required by the customers for us to earn trade commission?,Customers need to invest a minimum of Rs.1000 in Digital Gold to get a payout.
What are the minimum documents required for loan approval?,"1. PAN Card
2. Aadhar (Address Proof) Card
3. Cheque
While the above are our basic requirements, you may be asked 1-2 additional documents based on your profile."
What other documents may be required basis my profile?,"1. 3 months Bank Statement
2. Utility Bill"
What does processing fee mean?,"Processing fee is the fee charged for verification of your basic information and documents, getting the same approved by our credit team as well as for pick-up of your first EMI cheque and signed ECS form from your residence or office address. The company incurs a cost for this entire process which is why a small processing fee is charged to customers."
Is the processing fee same for all types of product?,"The processing fee differs based on the product value, product category and the tenure of loan selected by you. The processing fee applicable for you loan will be visible to you at the time of application itself."
Can I control Federal Scapia credit card through application?,"Yes, you can control your Federal Scapia credit card through application. Some of the activities that you can do through the app are setting app PIN; activating card; controlling cash withdrawal limit; making bill payments; enabling international, domestic, and online usage; and raising queries and complaints."
What are the numbers of Contact Centers for Federal Scapia Credit Card?,The pan Indian toll-free numbers of contact centers are 1800 - 425 - 1199 Or 1800 - 420 - 1199 and the number for international customers is 080-61991199.
Can I also get an add-on credit card?,"No, currently, there is no add-on credit card available for this card."
When will I get my Scapia Credit Card?,"On approval, you shall immediately get your virtual card, while the physical Scapia Federal Bank Credit Card shall be received between 2 to 5 working days."
What are the annual charges for this card?,The Scapia Federal Bank Credit Card is a lifetime free credit card. There are no annual or joining charges associated with this card.
Will I get the payout if my customer processes the same credit card application after 30 days? What to do if Lead expired after 30 days?,It is advisable to complete the application as soon as lead created to ensure attribution. With increased number of days between the application and the card approval the chances of attribution decrease as customers might be directly approached by bank/ other partners. But still if any card becomes success after 30 days GroMo tries to attribute the same to its partners if we receive the attribution from the brand.
What is the AmpliFi Credit Card?,The AmpliFi Credit Card is a credit card issued by Federal Bank in partnership with Fi Brand Private Limited (Fi). Fi is an outsourced service provider that offers marketing and promotion services for this Credit Card.
How is the Forex markup fee calculated?,"When transacting in a foreign currency, the amount is converted to INR. A forex markup fee, along with applicable taxes, is levied. Refunds for reversed transactions include a refund of the markup fee and GST charges."
What are the consequences of late payments?,Late payment charges apply if the minimum amount due is not paid by the due date. Charges depend on the total amount due on the card at that time.
How is the interest-free period calculated?,"The interest-free period ranges from 18-48 days, depending on your payment due date and purchase date. Full repayment of previous dues is required for an interest-free period."
What is the billing cycle and mode of sending statements?,"Billing statements are shared monthly, and the mode depends on the bill generation date chosen during the card application. Electronic statements are sent via email and the Fi app."
"How do Fi-coins work, and how can I earn and redeem them?","Fi-coins are earned on eligible purchases and can be redeemed through the Fi app. They expire in 2 years, and the rewards program may be modified over time."
How can I avail lounge access with the Credit Card?,Cardholders are eligible for one lounge access visit per calendar quarter. Specific criteria will be communicated via the Fi app. Present your Credit Card and voucher code for entry.
How can I close my Credit Card account?,You can close your Credit Card account by calling the Customer Care team or emailing help@fi.care. Outstanding dues and loans/EMIs linked to the Credit Card become due immediately upon closure.
What happens to Fi-coins if the Credit Card account is closed?,Fi-coins pending to be claimed will be forfeited upon closure or termination of the Credit Card membership.
How can I raise a dispute or grievance?,"Disputes can be raised by emailing help@fi.care or calling 080-47485490. For unresolved issues, contact the Bank's Nodal officer or use other Bank Grievance redressal channels."
What is an FD Credit Card?,An FD credit card is a secured credit card that can be availed against a fixed deposit (FD). It works just like any other normal credit card.
Do I need to book a new FD to get Rupicard?,"Yes, you need to book a new FD. The best part is that getting Rupicard is 100% guaranteed when you book your FD."
Is my FD safe?,"Yes, your fixed deposit is totally safe and secure as it is booked with an RBI-approved bank."
Will I earn interest on my FD?,"Yes, you will earn upto 7% p.a. interest on your FD."
How much credit limit will I get on booking FD?,"Your Rupicard credit card limit will be 90% of your FD amount. The bigger your FD, the higher your credit limit."
Do I need to book an FD every month?,"No, you just need to book an FD once, and your credit limit renews every month."
What is the eligibility for Rupicard FD credit card?,You just need to be above 18 years of age to apply for Rupicard.
Will I be charged any joining or annual fee?,"No, there will be no joining fees or annual membership fee"
Will there be any reward points?,"Yes, you will get exciting rewards on your spends."
Can I redeem the reward points on the Jupiter app?,"Yes, the reward points can be redeemed on the Jupiter app."
In what form are the reward points offered?,Reward points are offered in the form of Jewels.
What is the minimum number of Jewels that are needed before the reward points can be redeemed?,A minimum of 100 Jewels are needed before they can be redeemed.
Can I block the Edge CSB Bank RuPay Credit Card on the Jupiter app?,"Yes, the Edge CSB Bank RuPay Credit Card can be blocked on the Jupiter app."
Can I freeze the Edge CSB Bank RuPay Credit Card on the Jupiter app?,"Yes, you can freeze the Edge CSB Bank RuPay Credit Card on the Jupiter app. "
Can I redeem the reward points on the Jupiter app?,"Yes, the reward points can be redeemed on the Jupiter app."
In what form are the reward points offered?,Reward points are offered in the form of Jewels.
What is the minimum number of Jewels that are needed before the reward points can be redeemed?,A minimum of 100 Jewels are needed before they can be redeemed.
Can I block the Edge CSB Bank RuPay Credit Card on the Jupiter app?,"Yes, the Edge CSB Bank RuPay Credit Card can be blocked on the Jupiter app."
Can I freeze the Edge CSB Bank RuPay Credit Card on the Jupiter app?,"Yes, you can freeze the Edge CSB Bank RuPay Credit Card on the Jupiter app. "
How do I earn complimentary PVR INOX movie tickets with the PVR INOX Kotak Credit Card?,"Earn free movie tickets effortlessly by simply making a minimum monthly spend of ₹10,000. As you continue spending, enjoy additional perks and unlock unlimited cinematic delights tailored to your lifestyle."
How do I claim and redeem the extra movie tickets earned through spending milestones?,"Claiming your extra movie tickets is easy and hassle-free with the Kotak Mobile Banking App or Net Banking. Once you claim the tickets, you can use them to book movie tickets on the PVR App/Website or at the booking counter. The redemption process is user-friendly, ensuring that you can enjoy the benefits of your spending milestones to the fullest."
What are the terms and conditions for dining benefits with the PVR INOX Kotak Credit Card?,Get 20% off on food and drinks when you visit any PVR INOX cinema. This offer makes your movie experience more enjoyable by providing savings on your favourite snacks and meals.
Is there a cap on the number of complimentary PVR INOX movie tickets I can earn through monthly spending milestones?,"There's no limit to the cinematic joy you can unlock! The PVR INOX Kotak Credit Card rewards your spending milestones generously. As you spend, you'll earn additional movie tickets worth INR 300 each for every ₹10,000 spent in a billing cycle, providing you with unlimited opportunities to enjoy the latest blockbusters."
What is the validity of the M-coupons earned through the PVR INOX Kotak Card?,"Once earned, the M-coupons can be claimed through the Kotak Mobile Banking App/Net Banking within two billing cycles. The tickets are valid for 60 days from the date of claim, allowing you ample time to plan your cinematic adventures."
What is GroMo Bazaar?,GroMo Bazaar is an exclusive ecommerce marketplace within our app where GroMo Partners can purchase a variety of products at discounted prices using their accumulated GroMo Coins. GroMo Bazaar is introduced to help our Partners save more by buying products at discounted prices.
How do I access GroMo Bazaar?,"You can access GroMo Bazaar directly within the app. Look for the ""GroMo Bazaar"" section in the Rewards Page or in the GroMo Coins Page (Use Coins). Click on the GroMo Bazaar icon and Savings worth thousands."
How can I buy products from GroMo Bazaar?,"Simply browse through the available products, select the one you want to purchase, add the product to cart and proceed to checkout. During checkout, you'll see the discounted price and the number of GroMo Coins required for the purchase. Add your delivery details, select payment mode and complete payment. On successful payment, your order will be confirmed and required GroMo Coins will be redeemed."
What payment methods are accepted in GroMo Bazaar?,"You can pay for your purchases using a variety of payment methods including UPI, credit/debit cards, digital wallets, net banking or other payment options available at the payment page."
How are discounts applied in GroMo Bazaar?,"Discounts are automatically applied to the products listed in GroMo Bazaar. You'll see the discounted price next to the original price, allowing you to know the amount you'll save on the purchase. Additionally, you will also see the GroMo Coins that will be redeemed for the discount when you purchase the product."
Can I use only GroMo Coins to make a purchase?,"No. While GroMo Coins are used to reduce the purchase price, you'll need to pay the remaining discounted amount using one of the accepted payment methods."
How long will it take for my order to be delivered?,"After successful payment, any order is usually delivered within 7-10 days. For some remote locations the order might take up to 15 days to get delivered. You can track your orders in the ‘Track Order’ section of GroMo Bazaar to stay updated about the delivery of your order."
Can I return or exchange products bought from GroMo Bazaar?,"Yes. Each product listed has its own return and exchange policy. Please read the product details carefully before placing any order. In addition to this, please refer to GroMo’s terms and conditions to get a better understanding."
How long will it take for my refund?,"If you have raised a return request, the GroMo Coins are returned as soon as the return is confirmed with the brand. Your money will be refunded within 3-5 days after the order is picked up for return."
How often are new products added to App Bazaar?,We strive to regularly update and refresh the selection in GroMo Bazaar with new and exciting products. Keep an eye on GroMo Bazaar for the latest additions!
What is the For You section on GroMo?,"GroMo has designed a page specially For You to sell products easily and earn extra income from GroMo. This page provides sales recommendations that guide you to sell the right products to your customer, helping you in making easy sales with minimal chances of rejection. If you don’t know what to sell or how to sell, then ‘For You’ is the page that you need to check."
What are the different recommendations in For You?,"The For You page has various recommendations to make your selling experience simple. You can sell from Guaranteed Sale Recommendations which ensures nearly no rejections or from High Earning Recommendations to earn high payouts. If you have not sold even 1 product to your customer, you can make a sale from First Sale Recommendations or if your customer’s application got rejected, then you can sell him/her from Rejected Lead recommendations."
What do you mean by Earning Opportunities?,Earning Opportunity is the total amount that you can earn from your customers by selling them recommended (guaranteed sale) products. Don’t just stop selling after 1 product but try to sell customers as many recommended products as possible.
What do you mean by guaranteed sales?,"Guaranteed Sale means GroMo ensures that if you make a sale from any of the guaranteed recommendations, there is nearly 0 chance of rejection by the financial institution. If by any chance, the application gets ‘Rejected’ by the Institution, you would still receive 1000 GroMo Coins from GroMo."
Where can I find all my customers?,"Now you can find all your past and present customers and sell them recommended products on GroMo. You will see a customers icon on the top right corner of the Leads Page and of the For You Page. On clicking on this icon, you will be redirected to the customer Page where you will find the list of all customers."
What do you mean by verified customers ?,"Verified Customers are those customers who have checked their application details and provided consent to GroMo to manage their applications and data. Once a customer fills all details and provides consent in the form of an OTP, the customer becomes verified."
Where can I see details of a customer I added?,"To check the details and product recommendations of your customer, click on the customer tab on the customer list page. On clicking any customer, you will be able to check the customer’s details, credit score, recommended products to sell, customer leads and you can also edit/modify customer details,"
Where else can I find sales recommendations to make sales easily?,"GroMo provides you all types of sale recommendations at every app page where you may need help in selling. You can find all types of sale recommendations on the For You page. You can also find sale recommendations for each customer on the Customer Profile Page. If you want to sell a product, then you can find customer recommendations for the product on the Product Page itself. Additionally, you will also get sale recommendations against each lead on the lead details page."
What is PowerUp P2P by Uni?,PowerUp P2P is a peer-to-peer investment product. It enables any investor to earn a return of up to 9-12% and build long-term wealth.
What is P2P?,"P2P stands for Peer to Peer lending. It enables individuals to obtain loans directly from other individuals without the involvement of any intermediary. When you invest in P2P, your money is divided into small loans and lent to over 100+ credit-worthy borrowers."
Are there any processing charges for PowerUp P2P investment?,Not at all. There are no processing or transaction charges while investing or during withdrawal.
How can I apply?,"You can apply for the Personal Loan by following the steps given below: 
1. Open the digital journey mobile web URL link.
2. Login using your Mobile Number through OTP based authentication process.
3. Enter your Personal Details and Professional Details.
4. Choose your desired Amount and Tenure.
5. Complete e-KYC process.
6. Check and Confirm Bank Details.
7. Register for the eNACH mandate.
8. Provide Reference Details.
9. Accept the digital loan agreement Voila! Your loan will be disbursed to your account."
What are the minimum and maximum loan amounts?,"Minimum loan amount that can be availed is ₹50,000 & Maximum loan amount is ₹4 Lakhs. The maximum amount can differ from person to person based on the eligibility criteria."
What are the eligibility requirements for availing Personal Loan?,You should be meeting internal policy criterion for Personal Loan.
What is the tenure of a personal loan?,The repayment schedule varies up to 48 months depending on the loan amount chosen. You will have flexibility to choose your tenure for a particular amount of loan.
How does the loan repayment will be initiated?,Your EMI amount will get deducted from the account basis the setup done at the time of eNACH mandate registration
How do I contact for any queries?,"In case of any query, please reach out to us at abfl.cesb@adityabirlacapital.com with the application reference number."
How do I know the credit limit of Amex Platinum Card?,The credit limit will be mentioned in the welcome letter sent with your credit card. You can also check the credit limit on your credit card statements.
What is the joining fee for the American Express Platinum credit card?,"The joining fee for the American Express Platinum credit card is ₹60,000."
Does the American Express Platinum credit card offer contactless payments?,"Yes, you don’t have to enter the PIN for transactions up to Rs.5,000."
Is your money safe? | Stable Money,
How are FDs taxed? | Stable Money,
How can you complete VKYC process on Stable Money?,
Registering using aadhar linked mobile number | Stable Money,
Premature withdrawal on Stable Money app | Know More,
Do I get GroMo Coins for insurance sales?,"Yes, Now you can also earn GroMo Coins from making insurance sales. Get 20% of the Insurance Premium Amount as GroMo Coins on every insurance sale (offline and online). For eg. When you sell a health insurance whose premium is ₹10,000, you will earn 2000(i.e. 20% of 10,000) GroMo Coins as extra incentive."
Do I get extra payout from GroMo Coins when I sell Insurance?,"No, you will not receive any extra payout/earnings if you sell an insurance product. This is to ensure we are following all IRDAI guidelines and code of conduct."
How to redeem GroMo Coins that I earned from Insurance sales?,"There are multiple ways in which you can redeem GroMo Coins. Sell any non-insurance product and earn 10% of your GroMo Coin Balance as extra earnings. You can also redeem your GroMo Coins by purchasing any product from GroMo Bazaar at a discounted price. Additionally, you can also redeem your GroMo Coins by playing Spin The Wheel or JackPot Roll."
I attended a training but did not receive GroMo coins?,"You will only receive reward on attending a training if you are present in the session for a total duration of more than 15 minutes.
"
When can I do my KYC?,"Once you have atleast ₹500 in your wallet, you can complete your brands KYC by verifying your bank and PAN details. And you can complete your insurance KYC separately, once you're registered as an insurance POSP with us."
Why do you need to verify your bank account on the GroMo app?,We need bank account details so that we can instantly send you the money you've earned for a successful sale. This ensures that you receive your earnings securely in time.
I am unable to get my bank verified on the GroMo App?,"Please click on ""Edit Profile"" and go to ""Bank Verification"" section to add your Bank account. Please enter only the correct Bank details & PAN number. Make sure that your name on PAN card matches the name in your Bank account, otherwise the verification will get rejected. If you still face an issue we suggest you contact our support team for help. You can upload your bank statement/cancelled cheque & PAN card for our team to verify your account. It might take 2-4 days for manual verification."
Can I do the KYC using my friends' identity details?,No
Is my personal data safe with the GroMo app?,"Absolutely, we take the security of your personal information and KYC details very seriously at GroMo. We never sell, rent or share your information with anyone. They are stored with strict access controls to ensure the utmost protection. Your data privacy is our top priority."
I want to deactivate my account from the GroMo app?,"Once you deactivate your account, you won't receive any communications from GroMo, regarding reminders, training, or marketing. You can deactivate your account by clicking “Deactivate Account” below. Keep in mind, you can always reactivate your account whenever you change your mind. If you are facing an issue, we suggest you contact our support team for help."
What is a current account?,"Current account is an account meant for businesses. It’s a non-interest-bearing demand deposit which offers significantly higher number of transactions and services needed by micro, small, medium, large businesses, associations, societies or trusts. Current accounts offer frequent and immediate access to funds without any restrictions."
How are current accounts different from savings accounts?,"The three key differences between a current account and a savings account are:

Purpose of the account: The purpose of a current account is to facilitate frequent and high-value transaction requirements of businesses, whereas a savings account is a way for individuals to save money.
Interest income: Current accounts are non-interest-bearing; but with savings account, you can earn interest income on your account balance.
Freedom of performing transactions: Current account holders have the freedom of performing several transactions in a day; savings accounts do not offer this."
What documents do I need to open a current account?,"Here is a tentative list of documents required for opening a current account:

For sole proprietorship*

2 documents in the name of Entity
Address proof in the name of entity
Proprietor Document – (Photo, PAN copy and 1 OVD* document copy)
For Hindu Undivided Family (HUF)*

HUF PAN Card
Karta’s PAN Card
Karta’s OVD* document
HUF Declaration
KYC in the name of HUF is required as address proof
For Partnership*

Partnership Deeds
Partnership Firm Declaration
Entity PAN card copy
Address Proof in the name of the Entity
OVD* copy of the Partners / Authorized Signatories / Beneficial Owners (Including Latest Photograph and PAN card copy)
For Limited Liability Partnership (LLP)*

LLP agreements since inception
Certificate of Incorporation
LLP Firm Declaration
Latest list of designated partners
PAN card copy of the entity
Address Proof in the name of the Entity
OVD* copy of the Partners / Designated Partners / Authorised Signatories / Beneficial Owners (Including Latest Photograph and Pan card copy)
For Company (Public Limited & Private Limited)*

Memorandum of Association (MOA) & Articles of Association (AOA)
Certificate of Incorporation
Board Resolution
Latest List of Directors
PAN card copy
Address Proof in the name of the Entity
OVD* copy of the Directors / Authorized Signatories / Beneficial Owners (Including Latest Photograph and Pan card copy)
Official Valid Document (OVD)*

Passport
Driving License
Voter Identity Card
Proof of possession of Aadhar Number, in such a case declaration related to Aadhar redaction to be provided
Job card issued by NREGA duly signed by an officer of the State Government
Letter issued by National Population Register containing details of name, address
Note: Nature of Business proof is needed for selective Industries across constitutions. The list is tentative and the bank reserves the right to seek additional documents."
Can I group my current account with my savings account?,"Yes, the grouping of accounts features not only allows you to add your current account and savings account together, but also gives you the freedom to extend grouping benefits to your group businesses (Entities with common authorized signatories) and family members (family as per account grouping program constitutes: kids, parents, spouse, siblings, grandparents, grandchildren, father-in-law, mother-in-law, daughter-in-law & son-in-aw) too."
How is Average Monthly Balance (AMB) and Average Quarterly Balance (AQB) calculated?,"IndusInd Bank current account does not mandate a minimum balance in the current account but offers an average monthly balance to be maintained in your current account.

AMB is calculated on a simple average of day-end balances for a calendar month. AMB is calculated by adding the closing balance of account each day from start of the month to end of the month. Then the total sum amount is divided by number of days in that month.
Similarly, for AQB case, the AQB is closing balance of account each day from start of the quarter to end of the quarter, then the total sum amount is divided by number of days in that quarter."
What is the minimum Average Monthly Balance needed to open a current account?,"The minimum Average Monthly Balance, or AMB, varies upon the type of current account variant you choose. IndusInd Bank gives its customers the freedom to have more access to their funds with lowest Average Monthly Balance (AMB) requirements in the industry, starting from just Rs. 10,000."
What are the charges of opening a current account?,"At IndusInd Bank, you do not have to pay any current account opening charges. However, there are charges levied when customer uses the services beyond free limits* like issuance of an additional cheque book or cash deposit beyond free limits*. These charges will vary as per the services chosen. *Note: Free limits are different for each account type."
"When will the joining fee be charged, and when will I have to pay it?",The joining fee or subscription fee of Rs. 499 + GST will be charged on the day the card is issued. Payment is expected within the 1st statement's due date to avoid late payment charges.
What is the interest rate on the IDFC FIRST SWYP Credit Card?,"The IDFC FIRST SWYP Card allows customers to either pay the statement balance in full or convert eligible balances into easy EMIs. There is no concept of credit revolve, and you can either pay your entire bill by the payment due date or convert eligible balances into convenient EMIs."
What is Eligible Balance?,"The Total Amount Due from the current statement can be converted into EMIs with a flat monthly EMI conversion fee. It is calculated by deducting existing EMIs, fees & charges from the Total Payable."
What are the charges on Reward Points redemption?,Reward redemption through any channel will incur a convenience charge of Rs. 99 (+ applicable taxes) per redemption transaction.
What is the Rewards validity and when will the Rewards Points expire?,There is no expiry date for the reward points accrued on your IDFC FIRST SWYP Credit Card.
When can I claim Referral Benefits from the IDFC FIRST SWYP Referral Program?,"Referral benefits will be credited to the referrer's credit card account within 30 days to 45 days of successful achievement of the respective referral milestones, provided the referred cards are active and in good standing."
How many referrals can one do?,"There is no limit on the number of referrals one can make. However, benefits are applicable only for the first ten successful referrals where the card is issued and active for one year after the customer's card issuance date."
Can I withdraw cash from the IDFC FIRST SWYP Credit Card?,"No, the cash withdrawal feature is currently not enabled on the IDFC FIRST SWYP Credit Card."
When will the statement be generated for my IDFC FIRST SWYP Credit Card?,"The statement will be generated on the 17th of every month, with a potential change in the statement date if it falls on a holiday."
What payment options do Bank of Baroda Credit Cardholders have?,"Bank of Baroda credit cardholders have several options to make their payments, including cash payments, Bill Desk, cheque payments, BOB credit card netbanking, and the convenience of NEFT or RTGS Auto Debit."
What is the cheque return fees?,"The cheque return fee is minimum Rs.300 or 2%, whichever is higher. For Bank of Baroda Signature Visa Credit Card, the cheque return fee is minimum Rs.500 or 2.5%, whichever is higher."
Can Bank of Baroda credit card applicants check their application status online?,"Yes, Bank of Baroda credit card applicants check their BOB credit card application status online on the bank's website."
"Will the bank block my card, if I fail to pay my credit card bills?",The bank will block your card only if you fail to pay the credit card bills of two months back to back.
How much does the bank charge for de- blocking a credit card?,"The bank charges Rs.300 for de- blocking a credit card.

Variants:
Bank of Baroda Easy Credit Card -
Fees: 500
Bank of Baroda Select Credit Card
Fees: 750
Bank of Baroda Premier Credit Card
Fees: 1000
Bank of Baroda Eterna Credit Card
Fees: 2499
IRCTC Bank of Baroda Credit Card
Fees: 500
HPCL Bank of Baroda Energie Credit Card
Fees: 499
Snapdeal Bank of Baroda  Credit Card
Fees: 249"
Is Rummy App Legal in India?,"Yes, Rummy Apps are legal in India. The Supreme Court has declared in its 1996 ruling that rummy is a game of skill and cannot be counted as gambling or a game of chance.
Playing a game of skill such as rummy is considered a business activity, and even playing it with cash is safeguarded under Article 19(1)(g) of the Constitution of India."
How do we deal/distribute cards in rummy?,"Rummy is a game of skill. It requires patience, focus, and strategies for one to succeed. Indian Rummy is played by 2 to 6 players, and 13 cards are dealt to each player by the RNG-certified software program."
What are Cash Tournaments?,Cash tournaments are one of the most exciting parts of online rummy. Cash tournaments enable you to win a fortune by showcasing your rummy skills. You invest just a small amount as the registration/entry fee to get an entry to a cash tournament and get an opportunity to win mega cash prizes!
How To Play Rummy Game?,"To know step by step process of playing rummy, please refer to the video or go to the following link: <br><br>https://www.rummycircle.com/how-to-play-rummy/rummy-rules.html "
How do I open my customer's account?,Please watch the training video to understand in detail on how to open your customer's Lemonn account. You will earn commission only when Lemonn  KYC and Stock Broking form is submitted followed by 1st trade within same month.
Do we get commission on just opening Lemonn Demat account?,No. You will get a commission only when customer funds their Lemonn Demat account and perform 1st trade on the Lemonn App within the same month of account opening.
Do we get commissions if the phone number used is different from the phone number linked with the Aadhaar card?,"No, only the number linked with Aadhaar should be used, otherwise, you won't earn commissions."
Can we open an account using our phone on behalf of the customer?,"No, you should avoid using your phone number to open Customer's account. You will not be eligible for commissions."
Can we open an account without PAN Card?,"No, the customer will need a PAN card to open an account and only then you will be eligible for the commissions. PAN is required during the account opening process."
What is Digital Gold?,"Digital Gold is gold in digital format. You can buy gold virtually, in small amounts, and store them in secured vaults. Whenever you need, Digital Gold can be converted into physical gold or sold for cash."
Who should invest in Digital Gold?,1.Investors looking to add gold to their portfolio<br>2.Investors looking for a hedge against inflation<br>3.Investors looking to invest in gold in small amounts<br>4.Investors who want to avoid making charges on gold purchases<br>
What are the features of Digital Gold?,1.Gold bought in digital form<br>2.Affordable to buy gold in small units<br>3.Can be easily converted to physical gold<br>4.Buying and selling at the prevalent gold rates<br>5.Secure storage of purchased gold
What are the eligibility criteria?,"1. Age: 18-50 years old.<br>2. Vehicle: A two-wheeler, bicycle, or four-wheeler.<br>3. License: Valid driver’s license for your vehicle.<br>4.Smartphone: A smartphone with Android to use the Swiggy delivery app.<br>"
Does earnings expire from my wallet?,"Any earnings on GroMo will expire if not transferred to your bank account or used within 3 months. For example, if you earn ₹700 on June 8, 2024, and do not transfer or use it for an in-app purchase, the amount will expire at the end of September (September 30, 2024). Expiry always occurs at the end of the upcoming 3rd month."
My customer is redirected to HDFC Personal Loan. Will I get the payout for that?,"No, you will not receive a payout for customers redirected to HDFC Personal Loan. You will only get a payout for HDFC Insta/Jumbo Loan or HDFC Bank Smart EMI on Credit Card."
My customer is redirected to HDFC Personal Loan. Will I get the payout for that?,"No, you will not receive a payout for customers redirected to HDFC Personal Loan. You will only get a payout for HDFC Insta/Jumbo Loan or HDFC Bank Smart EMI on Credit Card."
What is the GroMo Elite program?,"GroMo Elite is an exclusive program designed to boost the earnings of GroMo Partners. The more you earn, the higher you progress in the program, unlocking benefits like up to 20% extra earnings, fee waivers, free memberships and much more."
What are the tiers/levels in GroMo Elite?,"The program has four tiers:<ul><li> <b>Silver:</b> This is the base tier for all users. Users do not get any extra benefits and there is no waiver on the annual fee as well.</li>
<li> <b>Gold:</b> When you reach sales earnings of ₹5000, you are upgraded to the Gold tier. This tier gives you 5% extra earnings on every sale, and the annual fee is waived completely.</li>
<li> <b>Platinum:</b> When you reach ₹25000 in total earnings, you are upgraded to Platinum. Platinum users enjoy 10% extra earnings, dedicated Relationship Manager (RM) support, and waived annual fees.</li>
<li> <b>Elite:</b> The highest tier, for users who have earned ₹100000 or more. Elite members receive 20% extra earnings, dedicated RM support, free GroMo Protect Membership, and waived annual fees. Elite members also get exclusive access to new products and free bonus customers from time to time.</li></ul>
"
